"","Date","mutationG1","mutationG1_low","mutationG1_up","mutationG2","mutationG2_low","mutationG2_up"
"1",2021-12-11,0,0,0,0,0,0
"2",2021-12-12,0,0,0,0,0,0
"3",2021-12-13,0,0,0,0,0,0
"4",2021-12-14,0,0,0,0,0,0
"5",2021-12-15,0,0,0,0,0,0
"6",2021-12-16,0,0,0,0,0,0
"7",2021-12-17,0,0,0,0,0,0
"8",2021-12-18,0,0,0,0,0,0
"9",2021-12-19,0,0,0,0,0,0
"10",2021-12-20,0,0,0,0,0,0
"11",2021-12-21,0,0,0,0,0,0
"12",2021-12-22,0,0,0,0,0,0
"13",2021-12-23,0,0,0,0,0,0
"14",2021-12-24,0,0,0,0,0,0
"15",2021-12-25,0,0,0,0,0,0
"16",2021-12-26,0,0,0,0,0,0
"17",2021-12-27,0,0,0,0,0,0
"18",2021-12-28,0,0,0,0,0,0
"19",2021-12-29,0,0,0,0,0,0
"20",2021-12-30,0,0,0,0,0,0
"21",2021-12-31,0,0,0,0,0,0.000155601736249895
"22",2022-01-01,0,0,0,0,0,0.000284284995145806
"23",2022-01-02,0,0,0,0,0,0.000387367590714447
"24",2022-01-03,0,0,4.26148178869099e-05,0,0,0.00087049971976945
"25",2022-01-04,0,0,0.000386619459567787,0,0,0.00169384936684541
"26",2022-01-05,0,0,0.000192011896906007,0.000807102502017756,0,0.00352579914057502
"27",2022-01-06,0,0,0.000731883662555931,0.0011520737327189,0,0.00392365767117613
"28",2022-01-07,0,0,0.00134485905912376,0.00119047619047619,0.000274411575107701,0.00408449207364837
"29",2022-01-08,0.000440630797773655,0,0.00194966323998582,0.0012987012987013,0.000282503559810115,0.00512994095095949
"30",2022-01-09,0.000408400937236459,0,0.0023375616171841,0.00158730158730159,0.000742590080057884,0.00491677266886957
"31",2022-01-10,0.00046015815652686,0,0.00282041654638076,0.00158730158730159,0.000694654126142161,0.00458535350323722
"32",2022-01-11,0.00136766334708611,0,0.00421307453648133,0.00158730158730159,0.000348752680746825,0.00515866722652371
"33",2022-01-12,0.00193870242828287,0,0.0045235989033711,0.00158730158730159,0.000340660696044411,0.00538465477954106
"34",2022-01-13,0.001859244779442,0,0.00402373617979623,0.00200981041523172,0.000138432349224275,0.00579489335271213
"35",2022-01-14,0.00197501231822412,0,0.00414506519920887,0.00213219616204691,0,0.006344228059777
"36",2022-01-15,0.00176027351463514,0,0.00429561369920194,0.00297619047619048,0.000172699640784747,0.0064999648222728
"37",2022-01-16,0.00122174360643837,0,0.00471476425849635,0.00355489417989418,0.000208855472013366,0.00708066693646075
"38",2022-01-17,0.00199475746184403,0,0.00364778195991226,0.00409469439451718,0.000208855472013366,0.00743478306174267
"39",2022-01-18,0.00152661447138864,0,0.00396255670883587,0.0056811658072207,0.00102903655535235,0.00810438935058653
"40",2022-01-19,0.00129358608418747,0,0.00307237028645104,0.00635697048877137,0.0018439458524045,0.0103153186375351
"41",2022-01-20,0.00147642991449297,0,0.0046954961768672,0.0058717220415664,0.00139158960619941,0.0105031659449672
"42",2022-01-21,0.00177426835056751,0,0.00419388161758306,0.00698174006444682,0.00309904320293327,0.0131145224090634
"43",2022-01-22,0.0020345315352766,0,0.00726304908737326,0.00747062461348176,0.00350259445394215,0.0123725864974104
"44",2022-01-23,0.00211983573917372,0,0.00653418611361233,0.00771524300878509,0.00231685789938217,0.0126836133929677
"45",2022-01-24,0.00258585491992923,0,0.00792984988349111,0.0102043575023348,0.00403274591948476,0.0181246494586094
"46",2022-01-25,0.00348064738214749,0,0.00870791858455237,0.0081404130768123,0.00517970905041367,0.0164328404967222
"47",2022-01-26,0.00361369187994281,0.000974025974025975,0.00996490733764193,0.0081404130768123,0.00511814574314574,0.0207038129025285
"48",2022-01-27,0.00417168809655141,0.00195474073962361,0.0103402249961383,0.00861504256656338,0.00514508565979672,0.0210798207337929
"49",2022-01-28,0.00446816142680066,0.0020183629987071,0.0106672194841229,0.00793650793650794,0.00439314561758524,0.0224944126909103
"50",2022-01-29,0.00604447623604034,0.00206493170390686,0.00996704572979525,0.00834419006218288,0.00448777874342986,0.0239661567065537
"51",2022-01-30,0.00707690261587691,0.00209815559593929,0.0114298697567082,0.00848672224498915,0.00511640528203343,0.0276187287492426
"52",2022-01-31,0.00604673472544073,0.00157617004207913,0.0113533330737228,0.0117647058823529,0.00551829284294016,0.0246959478771138
