"","usa_or_hhsregion","week_ending","variant","share","share_hi","share_lo","nchs_or_count_flag","modeltype","time_interval","published_date","order_variant"
"1012","USA",2021-12-11,"B.1.617.2",0.918893039,0.944901943,"0.885768354","0","weighted","weekly",2022-08-26,"1"
"1011","USA",2021-12-11,"B.1.1.529",0.054211657,0.083450072,"0.032905936","0","weighted","weekly",2022-08-26,"2"
"1013","USA",2021-12-11,"BA.1.1",0.023326227,0.035193413,"0.014626503","0","weighted","weekly",2022-08-26,"3"
"1014","USA",2021-12-11,"BA.2",0,NA,"NULL","1","weighted","weekly",2022-08-26,"4"
"1015","USA",2021-12-11,"BA.2",0,NA,"NULL","1","weighted","weekly",2022-08-26,"4"
"1016","USA",2021-12-11,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1017","USA",2021-12-11,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1018","USA",2021-12-11,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1019","USA",2021-12-11,"Others",0.003569048,0.005182933,"0.002356492","0","weighted","weekly",2022-08-26,"5"
"1021","USA",2021-12-18,"B.1.617.2",0.61593771,0.667027593,"0.562877893","0","weighted","weekly",2022-08-26,"1"
"1020","USA",2021-12-18,"B.1.1.529",0.226758808,0.273150384,"0.184851035","0","weighted","weekly",2022-08-26,"2"
"1022","USA",2021-12-18,"BA.1.1",0.149929702,0.188663259,"0.116457112","0","weighted","weekly",2022-08-26,"3"
"1023","USA",2021-12-18,"BA.2",2.6e-05,0.000152447,"5.14E-07","1","weighted","weekly",2022-08-26,"4"
"1024","USA",2021-12-18,"BA.2",1.95e-05,0.000114336,"3.85E-07","1","weighted","weekly",2022-08-26,"4"
"1025","USA",2021-12-18,"Others",1.95e-05,0.000114336,"3.85E-07","1","weighted","weekly",2022-08-26,"5"
"1026","USA",2021-12-18,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1027","USA",2021-12-18,"Others",7.14e-05,0.000419196,"1.41E-06","1","weighted","weekly",2022-08-26,"5"
"1028","USA",2021-12-18,"Others",0.00723743,0.009660708,"0.005291342","0","weighted","weekly",2022-08-26,"5"
"1030","USA",2021-12-25,"B.1.617.2",0.259204715,0.302171439,"0.219417453","0","weighted","weekly",2022-08-26,"1"
"1029","USA",2021-12-25,"B.1.1.529",0.39095962,0.437116623,"0.346207708","0","weighted","weekly",2022-08-26,"2"
"1031","USA",2021-12-25,"BA.1.1",0.338641524,0.385314703,"0.294187069","0","weighted","weekly",2022-08-26,"3"
"1032","USA",2021-12-25,"BA.2",3.73e-05,0.000150517,"3.26E-06","1","weighted","weekly",2022-08-26,"4"
"1033","USA",2021-12-25,"BA.2",3.37e-06,7.71e-05,"1.07E-14","1","weighted","weekly",2022-08-26,"4"
"1034","USA",2021-12-25,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1035","USA",2021-12-25,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1036","USA",2021-12-25,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1037","USA",2021-12-25,"Others",0.011153415,0.015515813,"0.007757581","0","weighted","weekly",2022-08-26,"5"
"1039","USA",2022-01-01,"B.1.617.2",0.100997269,0.118134968,"0.085584804","0","weighted","weekly",2022-08-26,"1"
"1038","USA",2022-01-01,"B.1.1.529",0.425817102,0.464454383,"0.387842566","0","weighted","weekly",2022-08-26,"2"
"1040","USA",2022-01-01,"BA.1.1",0.456941724,0.493784487,"0.420446515","0","weighted","weekly",2022-08-26,"3"
"1041","USA",2022-01-01,"BA.2",0.000119687,0.000376093,"2.08E-05","1","weighted","weekly",2022-08-26,"4"
"1042","USA",2022-01-01,"BA.2",2.23e-05,0.000129572,"4.65E-07","1","weighted","weekly",2022-08-26,"4"
"1043","USA",2022-01-01,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1044","USA",2022-01-01,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1045","USA",2022-01-01,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1046","USA",2022-01-01,"Others",0.016101895,0.022823611,"0.01093896","0","weighted","weekly",2022-08-26,"5"
"1048","USA",2022-01-08,"B.1.617.2",0.04425247,0.053714979,"0.036033213","0","weighted","weekly",2022-08-26,"1"
"1047","USA",2022-01-08,"B.1.1.529",0.410605669,0.441882551,"0.379858673","0","weighted","weekly",2022-08-26,"2"
"1049","USA",2022-01-08,"BA.1.1",0.538145006,0.569984794,"0.506071389","0","weighted","weekly",2022-08-26,"3"
"1050","USA",2022-01-08,"BA.2",0.001015004,0.002098793,"0.00040545","1","weighted","weekly",2022-08-26,"4"
"1051","USA",2022-01-08,"BA.2",0.000142772,0.000752288,"4.63E-06","1","weighted","weekly",2022-08-26,"4"
"1052","USA",2022-01-08,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1053","USA",2022-01-08,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1054","USA",2022-01-08,"Others",4.76e-05,0.000250798,"1.54E-06","1","weighted","weekly",2022-08-26,"5"
"1055","USA",2022-01-08,"Others",0.005791517,0.009653379,"0.003190107","0","weighted","weekly",2022-08-26,"5"
"1057","USA",2022-01-15,"B.1.617.2",0.018907165,0.022120873,"0.016048014","0","weighted","weekly",2022-08-26,"1"
"1056","USA",2022-01-15,"B.1.1.529",0.349479586,0.373497397,"0.326019198","0","weighted","weekly",2022-08-26,"2"
"1058","USA",2022-01-15,"BA.1.1",0.627281487,0.650262356,"0.603862643","0","weighted","weekly",2022-08-26,"3"
"1059","USA",2022-01-15,"BA.2",0.001947669,0.002655608,"0.001389063","0","weighted","weekly",2022-08-26,"4"
"1060","USA",2022-01-15,"BA.2",0,NA,"NULL","1","weighted","weekly",2022-08-26,"4"
"1061","USA",2022-01-15,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1062","USA",2022-01-15,"Others",0,NA,"NULL","1","weighted","weekly",2022-08-26,"5"
"1063","USA",2022-01-15,"Others",1.44e-05,9.16e-05,"1.86E-07","1","weighted","weekly",2022-08-26,"5"
"1064","USA",2022-01-15,"Others",0.002369721,0.003730394,"0.00141111","0","weighted","weekly",2022-08-26,"5"
"1066","USA",2022-01-22,"B.1.617.2",0.008277267,0.010594997,"0.006354398","0","weighted","weekly",2022-08-26,"1"
