,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
43.3,1.04E-05,2.08E-05,4.13E-05,8.08E-05,0.000154724,0.000288666,0.000524447,0.000928547,0.001603367,0.002702206,0.004448256,0.007157746,0.011266983,0.017362539,0.026213353,0.038802987,0.056359934,0.080383704,0.112664545,0.155295089,0.210672996,0.281494688,0.37074151,0.481660898,0.617746402,0.782721398,0.980532127,1.215356193,1.491632885,1.814121755,2.187995958,2.618977045,3.113518508,3.679046573,4.324268822,5.059564523,5.897475418,6.853322624,7.945985027,9.198887896,10.64126894
43.4,2.39E-05,4.53E-05,8.53E-05,0.00015831,0.000288227,0.000512155,0.000888189,0.001504347,0.002490178,0.004031391,0.006387386,0.009911445,0.015072948,0.02248064,0.032905626,0.047302542,0.066827232,0.092849363,0.126958761,0.170964728,0.226888391,0.296948926,0.383545404,0.489236849,0.616723795,0.768835151,0.948524497,1.158880035,1.403152366,1.684804137,2.007585533,2.375639609,2.793641894,3.26697945,3.801976033,4.406172188,5.088672328,5.860575342,6.73551146,7.730316545,8.865886412
43.5,5.30E-05,9.54E-05,0.000170412,0.000300905,0.00052188,0.000885266,0.001468708,0.002384681,0.003791704,0.005907762,0.009025508,0.013528694,0.019909075,0.028782784,0.040905008,0.057181776,0.078677714,0.106618915,0.142390394,0.187528169,0.243706554,0.312721874,0.396474398,0.496950756,0.616209467,0.756372377,0.919624897,1.108227773,1.324543024,1.571076465,1.850539124,2.165929905,2.520642089,2.918596866,3.364408056,3.863583683,4.422772199,5.050064092,5.755363551,6.550850219,7.451558153
43.6,0.000113228,0.000193733,0.00032968,0.000554957,0.00091906,0.001491646,0.002372584,0.003700509,0.005662861,0.008507373,0.012554244,0.018208395,0.025971033,0.036449681,0.050365788,0.068559147,0.091988494,0.12172798,0.158959537,0.204961597,0.26109503,0.328787564,0.40951828,0.504804019,0.616189626,0.745244012,0.893563887,1.062786891,1.254615659,1.470854178,1.713457752,1.984597851,2.286743393,2.622760391,2.996032591,3.410606775,3.871367809,4.384250419,4.956497254,5.596976125,6.316573765
43.7,0.000232954,0.000380302,0.000617801,0.000993787,0.001575169,0.002451483,0.003746232,0.005624081,0.008299005,0.012043285,0.017196302,0.024172582,0.033468453,0.045666696,0.061438649,0.081543351,0.106823555,0.138198653,0.176654881,0.223233445,0.279017473,0.345118946,0.42266686,0.512798006,0.616651694,0.73536971,0.870102647,1.0220236,1.19235006,1.382374732,1.593505946,1.827318368,2.085614886,2.370500875,2.684472521,3.030521598,3.41226003,3.834068841,4.301277702,4.820383431,5.399318543
43.8,0.000462357,0.000721932,0.001122248,0.001729139,0.00262903,0.003932016,0.005784764,0.008375508,0.011939769,0.016766571,0.023203869,0.031662752,0.042619983,0.056618518,0.074265756,0.096229418,0.123231155,0.156038172,0.195453353,0.242304565,0.297433945,0.361688078,0.435910015,0.52093406,0.617584204,0.726676954,0.849029225,0.985471801,1.136868769,1.304143277,1.488309924,1.690514157,1.912079185,2.154561159,2.419813713,2.710063449,3.027998572,3.376873707,3.76063497,4.184070702,4.652994994
43.9,0.000886027,0.001326338,0.001977589,0.002925278,0.00427586,0.00615853,0.008740276,0.012227865,0.016870834,0.022964974,0.030854736,0.040934286,0.053646961,0.069482999,0.088975521,0.112694856,0.141241469,0.175237868,0.215319971,0.262128533,0.316301268,0.378466318,0.449237726,0.52921349,0.618976711,0.719100259,0.830155275,0.952723735,1.087415255,1.234888249,1.395875586,1.571214935,1.761884097,1.969041816,2.194074785,2.438651907,2.704787293,2.994913992,3.311971127,3.65950796,4.041809436
44,0.001640779,0.002360203,0.003383081,0.004815071,0.006780867,0.009424676,0.012928372,0.017509768,0.023422814,0.030958706,0.040445908,0.052248929,0.066765817,0.084424382,0.105677254,0.130995998,0.160864561,0.195772433,0.236207931,0.282652059,0.335573409,0.395424524,0.46264013,0.537637571,0.620819703,0.712580467,0.813313237,0.923422048,1.043335723,1.17352493,1.314522225,1.466945178,1.631522765,1.809125362,2.000798817,2.207803331,2.431658121,2.674193206,2.937610069,3.224553468,3.538197333
44.1,0.002938726,0.004071259,0.005622636,0.007716753,0.010491928,0.014100527,0.018731499,0.024604293,0.031966457,0.041092966,0.052284614,0.065865478,0.082179479,0.101586175,0.124455931,0.151164718,0.182088791,0.217599554,0.258058928,0.303815521,0.355201906,0.412533257,0.476107554,0.546207539,0.623104521,0.707064107,0.79835388,0.897253026,1.004063889,1.119125449,1.242828736,1.375634229,1.518091389,1.670860524,1.834737346,2.010680693,2.199844085,2.403612,2.62364202,2.861914315,3.120790342
44.2,0.005095026,0.006813012,0.009085333,0.012049264,0.015849228,0.020636492,0.026597566,0.033943176,0.042903623,0.053727014,0.066676842,0.08202897,0.100068122,0.121084019,0.145367337,0.173205668,0.204879715,0.240659915,0.2808037,0.325553598,0.37513632,0.429762984,0.489630557,0.554924592,0.625823281,0.702502835,0.785144163,0.873940822,0.969108217,1.070894019,1.179589812,1.295544015,1.419176158,1.550992694,1.691604551,1.841746787,2.002300781,2.174319537,2.359056874,2.558001426,2.77291666
44.3,0.008558226,0.011069487,0.014283581,0.01834334,0.023389346,0.029561064,0.037032469,0.045995526,0.056653731,0.069219928,0.08391376,0.100958831,0.120579713,0.142998891,0.168433813,0.197094171,0.22917955,0.264877595,0.304362794,0.347795992,0.395324703,0.44708428,0.503199973,0.563789883,0.628968802,0.698852919,0.773565356,0.853242515,0.938041182,1.028146409,1.123780152,1.225210711,1.332763046,1.44683007,1.567885102,1.696495689,1.833339114,1.979219955,2.135090203,2.302072523,2.481487421
44.4,0.013939374,0.01747595,0.021865071,0.027244954,0.033741133,0.041470568,0.050585448,0.06125064,0.073635836,0.087913487,0.104256614,0.122836571,0.143820849,0.167371012,0.193640858,0.222774899,0.254907226,0.290160844,0.328647527,0.370468228,0.415714086,0.464468023,0.516806944,0.572804521,0.632534539,0.696074779,0.763511411,0.83494387,0.910490207,0.99029289,1.074525094,1.163397475,1.257165515,1.3561375,1.460683247,1.57124375,1.688341925,1.81259471,1.944726837,2.085586646,2.236164418
44.5,0.022034184,0.026830325,0.032614016,0.039507668,0.047610997,0.05700956,0.067826811,0.080195134,0.094246922,0.110112972,0.127920918,0.147793742,0.16984843,0.19419483,0.220934757,0.250161401,0.281959058,0.316403237,0.353561136,0.393492517,0.436250976,0.481885593,0.530442958,0.581969563,0.636514514,0.694132578,0.754887513,0.818855692,0.886130002,0.956824015,1.031076458,1.109055993,1.190966356,1.277051913,1.367603708,1.46296611,1.563544194,1.669811992,1.782321843,1.901715049,2.028734135
